Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH,Oil,S&P500,DJI,NASDAQ
2020/8/3,11043.76856,11453.0791,11012.41504,11246.34863,386.3,41.01,3294.61,26664.4,10902.79981
2020/8/4,11246.20313,11385.38184,11094.14551,11205.89258,389.88,41.7,3306.51,26828.47,10941.16992
2020/8/5,11203.82324,11786.61719,11158.28516,11747.02246,401.59,42.19,3327.77,27201.52,10998.40039
2020/8/6,11749.87109,11902.33594,11598.71387,11779.77344,394.96,41.95,3349.16,27386.98,11108.07031
2020/8/7,11778.89453,11898.03809,11408.59375,11601.47266,379.51,41.22,3351.28,27433.48,11010.98047
2020/8/8,11604.55371,11800.06445,11558.43164,11754.0459,393.99,#N/A,#N/A,#N/A,#N/A
2020/8/9,11737.3252,11806.05664,11548.78418,11675.73926,391.12,#N/A,#N/A,#N/A,#N/A
2020/8/10,11662.25684,12045.14063,11662.25684,11878.11133,395.89,41.94,3360.47,27791.44,10968.36035
2020/8/11,11881.64746,11932.71094,11195.70898,11410.52539,380.38,41.61,3333.69,27686.91,10782.82031
2020/8/12,11404.59668,11748.39648,11249.60547,11584.93457,391.02,42.67,3380.35,27976.84,11012.24023
2020/8/13,11588.40527,11796.39648,11216.87207,11784.1377,428.74,42.24,3373.43,27896.72,11042.5
2020/8/14,11772.65918,12150.99414,11685.45508,11768.87109,437.4,42.01,3372.85,27931.02,11019.29981
2020/8/15,11768.69727,11963.20313,11768.69727,11865.69824,433.35,#N/A,#N/A,#N/A,#N/A
2020/8/16,11866.68555,11934.90137,11737.18848,11892.80371,433.79,#N/A,#N/A,#N/A,#N/A
2020/8/17,11895.6582,12359.05664,11806.69629,12254.40234,429.53,42.89,3381.99,27844.91,11129.73047
2020/8/18,12251.89551,12335.70703,11954.52539,11991.2334,423.67,42.89,3389.78,27778.07,11210.83984
2020/8/19,11990.88477,12028.92383,11687.33301,11758.2832,406.46,42.93,3374.85,27692.88,11146.45996
2020/8/20,11761.5,11900.41113,11710.06348,11878.37207,416.44,42.58,3385.51,27739.73,11264.9502
2020/8/21,11878.02637,11899.25977,11564.97949,11592.48926,389.13,42.34,3397.16,27930.33,11311.79981
2020/8/22,11585.47754,11689.40723,11448.80566,11681.8252,395.84,#N/A,#N/A,#N/A,#N/A
2020/8/23,11679.69629,11713.42969,11559.9209,11664.84766,391.38,#N/A,#N/A,#N/A,#N/A
2020/8/24,11663.68945,11807.63184,11623.25,11774.5957,408.14,42.62,3431.28,28308.46,11379.71973
2020/8/25,11773.58887,11778.29981,11189.85059,11366.13477,384,43.35,3443.62,28248.44,11466.46973
2020/8/26,11366.89453,11530.05273,11296.99316,11488.36328,386.47,43.39,3478.73,28331.92,11665.05957
2020/8/27,11485.6084,11570.78613,11185.94141,11323.39746,382.63,43.04,3484.55,28492.27,11625.33984
2020/8/28,11325.2959,11545.61523,11316.42285,11542.5,395.87,42.97,3508.01,28653.87,11695.62988
2020/8/29,11541.05469,11585.64063,11466.29297,11506.86523,399.92,#N/A,#N/A,#N/A,#N/A
2020/8/30,11508.71387,11715.26465,11492.38184,11711.50586,428.4,#N/A,#N/A,#N/A,#N/A
2020/8/31,11713.30664,11768.87695,11598.31836,11680.82031,435.08,42.61,3500.31,28430.05,11775.45996
2020/9/1,11679.31641,12067.08106,11601.12891,11970.47852,477.05,42.76,3526.65,28645.66,11939.66992
2020/9/2,11964.82324,11964.82324,11290.79395,11414.03418,440.04,41.51,3580.84,29100.5,12056.44043
2020/9/3,11407.19141,11443.02246,10182.46484,10245.29688,385.67,41.37,3455.06,28292.73,11458.09961
2020/9/4,10230.36523,10663.91992,10207.94043,10511.81348,388.24,39.77,3426.96,28133.31,11313.12988
2020/9/5,10512.53027,10581.57129,9946.675781,10169.56738,335.26,#N/A,#N/A,#N/A,#N/A
2020/9/6,10167.2168,10353.92773,10056.88574,10280.35156,353.36,38.75,#N/A,#N/A,#N/A
2020/9/7,10280.99805,10399.15332,9916.493164,10369.56348,352.67,39.2,#N/A,#N/A,#N/A
2020/9/8,10369.30664,10414.77539,9945.110352,10131.5166,337.6,36.76,3331.84,27500.89,10847.69043
2020/9/9,10134.15137,10350.54297,10017.25098,10242.34766,351.11,38.05,3398.96,27940.47,11141.55957
2020/9/10,10242.33008,10503.91211,10238.13574,10363.13867,368.1,37.3,3339.19,27534.58,10919.58984
2020/9/11,10369.02832,10434.92285,10140.83691,10400.91504,374.7,37.33,3340.97,27665.64,10853.54981
2020/9/12,10409.86133,10578.83789,10292.38672,10442.1709,387.18,#N/A,#N/A,#N/A,#N/A
2020/9/13,10452.39941,10577.21484,10224.33008,10323.75586,365.57,#N/A,#N/A,#N/A,#N/A
2020/9/14,10328.73438,10800.01074,10266.00879,10680.83789,377.27,37.26,3383.54,27993.33,11056.65039
2020/9/15,10677.75488,10938.63184,10656.45996,10796.95117,364.84,38.28,3401.2,27995.6,11190.32031
2020/9/16,10797.76172,11100.12402,10704.88477,10974.90527,365.81,40.16,3385.49,28032.38,11050.46973
2020/9/17,10973.25195,11037.4209,10774.62793,10948.99023,389.02,40.97,3357.01,27901.98,10910.28027
2020/9/18,10951.82031,11034.9082,10829.65723,10944.58594,384.36,41.11,3319.47,27657.42,10793.28027
2020/9/19,10933.75293,11134.09277,10909.61816,11094.34668,385.54,#N/A,#N/A,#N/A,#N/A
2020/9/20,11095.87012,11095.87012,10814.47754,10938.27148,371.05,#N/A,#N/A,#N/A,#N/A
2020/9/21,10934.92578,10988.30469,10380.26074,10462.25977,341.79,39.31,3281.06,27147.7,10778.79981
2020/9/22,10459.62402,10568.07715,10382.72656,10538.45996,344.5,39.6,3315.57,27288.18,10963.63965
2020/9/23,10535.49219,10537.82813,10197.86523,10246.18652,321.12,39.93,3236.92,26763.13,10632.99023
2020/9/24,10248.78613,10771.05664,10231.49023,10760.06641,349.36,40.31,3246.59,26815.44,10672.26953
2020/9/25,10761.10938,10777.69629,10578.91406,10692.7168,352.18,40.25,3298.46,27173.96,10913.55957
2020/9/26,10695.5752,10772.99902,10667.28125,10750.72363,355.49,#N/A,#N/A,#N/A,#N/A
2020/9/27,10746.89258,10803.97656,10622.92188,10775.26953,357.44,#N/A,#N/A,#N/A,#N/A
2020/9/28,10776.61328,10945.34766,10703.89356,10709.65234,355.16,40.6,3351.6,27584.06,11117.53027
2020/9/29,10709.65039,10860.00098,10649.49512,10844.64063,359.76,39.29,3335.47,27452.66,11085.25
2020/9/30,10843.87109,10847.25684,10669.32129,10784.49121,359.94,40.22,3363,27781.7,11167.50977
2020/10/1,10795.25488,10933.62402,10472.35645,10619.45215,353.21,38.72,3380.8,27816.9,11326.50977
2020/10/2,10619.82129,10657.83789,10416.68945,10575.97461,346.24,37.05,3348.44,27682.81,11075.01953
2020/10/3,10575.10059,10598.94043,10511.12988,10549.3291,346.52,#N/A,#N/A,#N/A,#N/A
2020/10/4,10550.44043,10686,10534.3916,10669.58301,352.58,#N/A,#N/A,#N/A,#N/A
2020/10/5,10676.5293,10793.50781,10634.60059,10793.33984,353.96,39.22,3408.63,28148.64,11332.49023
2020/10/6,10796.30664,10797.57813,10528.89063,10604.40625,340.82,40.67,3360.95,27772.76,11154.59961
2020/10/7,10603.35547,10680.50781,10562.50684,10668.96875,341.81,39.95,3419.45,28303.46,11364.59961
2020/10/8,10669.37109,10945.73731,10562.60645,10915.68555,350.77,41.19,3446.83,28425.51,11420.98047
2020/10/9,10927.91309,11102.67188,10846.85059,11064.45801,365.59,40.6,3477.13,28586.9,11579.94043
2020/10/10,11059.14258,11442.21094,11056.94043,11296.36133,370.97,#N/A,#N/A,#N/A,#N/A
2020/10/11,11296.08203,11428.81348,11288.62793,11384.18164,375.14,#N/A,#N/A,#N/A,#N/A
2020/10/12,11392.63574,11698.46777,11240.68652,11555.36328,387.73,39.43,3534.22,28837.52,11876.25977
2020/10/13,11548.71973,11548.98438,11321.22461,11425.89941,381.19,40.2,3511.93,28679.81,11863.90039
2020/10/14,11429.04785,11539.97754,11307.83106,11429.50684,379.48,41.04,3488.67,28514,11768.73047
2020/10/15,11426.60254,11569.91406,11303.60352,11495.34961,377.44,40.96,3483.34,28494.2,11713.87012
2020/10/16,11502.82813,11540.06152,11223.0127,11322.12305,366.23,40.88,3483.81,28606.31,11671.55957
2020/10/17,11322.12305,11386.26172,11285.3457,11358.10156,368.86,#N/A,#N/A,#N/A,#N/A
2020/10/18,11355.98242,11483.35938,11347.57813,11483.35938,378.21,#N/A,#N/A,#N/A,#N/A
2020/10/19,11495.03809,11799.09277,11408.29004,11742.03711,379.94,40.83,3426.92,28195.42,11478.87988
2020/10/20,11745.97461,11999.91797,11681.48047,11916.33496,369.14,41.46,3443.12,28308.79,11516.49023
